lat,lon,name,city,source
4.174718,73.5101438,male,1,The Onion
34.008818,-81.0372695,columbia,1,The Onion
43.1932336,-80.3842807,paris,1,The Onion
42.3604823,-71.0595678,boston,2,The Onion
41.4877262,-81.677522,cleveland,1,The Onion
38.8951148,-77.0363716,washington,2,The Onion
34.8512316,-82.3985105,greenville,1,The Onion
39.6417629,-77.7199932,hagerstown,1,The Onion
49.8493165,-99.9573544,brandon,1,The Onion
15.160632,120.5864028,angeles,1,The Onion
39.2810502,-76.567903,baltimore,1,The Onion
-26.6595434,150.1839141,miles,1,The Onion
42.9894583,-81.2460912,london,1,The Onion
43.5113941,16.439737,split,1,The Onion
49.1323438,-123.0056851,delta,1,The Onion
33.7877945,-117.8531119,orange,1,The Onion
35.614517,-88.813947,jackson,1,The Onion
40.3364587,-75.9288612,reading,2,The Onion
34.1987,-79.7677001,florence,1,The Onion
42.8864468,-78.8783689,buffalo,1,The Onion
43.7009504,7.2684054,nice,1,The Onion
43.074761,-89.3837613,madison,5,Huffington Post
39.1014564,-84.5138592,cincinnati,1,Huffington Post
21.304547,-157.8556764,honolulu,1,Huffington Post
-35.2820708,149.1286673,canberra,2,Huffington Post
52.6367811,-1.1312289,leicester,2,Huffington Post
32.0835407,-81.0998342,savannah,1,Huffington Post
30.0860459,-94.1018461,beaumont,1,Huffington Post
-3.3585234,29.3682312,bujumbura,6,Huffington Post
11.5936909,43.1471141,djibouti,1,Huffington Post
42.9894583,-81.2460912,london,24,Huffington Post
54.5205722,-128.6060566,terrace,2,Huffington Post
-11.6931255,43.2543044,moroni,5,Huffington Post
41.4672589,12.9035737,latina,1,Huffington Post
6.5428919,21.9871043,bria,1,Huffington Post
37.270973,-79.9414313,roanoke,1,Huffington Post
27.0997775,-82.4542633,venice,3,Huffington Post
43.1932336,-80.3842807,paris,31,Huffington Post
-38.3829031,142.4882935,warrnambool,1,Huffington Post
42.1155716,-80.0807007,erie,1,Huffington Post
27.9658533,-82.8001026,clearwater,1,Huffington Post
39.7391536,-104.9847034,denver,2,Huffington Post
-27.4689806,153.023503,brisbane,1,Huffington Post
37.227928,-77.4019268,petersburg,1,Huffington Post
46.136922,-60.1917192,sydney,7,Huffington Post
33.7877945,-117.8531119,orange,12,Huffington Post
44.0366034,10.1409467,massa,1,Huffington Post
-12.4596697,130.8406196,darwin,4,Huffington Post
-34.8985937,-56.1628267,montevideo,5,Huffington Post
36.0391456,-114.9819235,henderson,1,Huffington Post
44.2634161,-88.4166964,appleton,1,Huffington Post
51.3405087,12.3746816,leipzig,1,Huffington Post
-20.1252961,-40.3064477,serra,1,Huffington Post
38.111051,13.335745,palermo,2,Huffington Post
34.4301914,70.4601355,jalalabad,1,Huffington Post
31.5621916,74.3228517,lahore,4,Huffington Post
47.4983377,19.0404712,budapest,1,Huffington Post
39.9272322,32.8519769,ankara,10,Huffington Post
14.6930042,-17.447026,dakar,5,Huffington Post
-37.7876214,175.2813186,hamilton,5,Huffington Post
46.1759065,21.3187686,arad,2,Huffington Post
25.4740943,80.3315801,banda,3,Huffington Post
41.1485925,-8.6110201,porto,10,Huffington Post
40.8000554,-96.6674005,lincoln,7,Huffington Post
36.8468146,-76.2852183,norfolk,1,Huffington Post
-12.9816356,-38.4820771,salvador,3,Huffington Post
25.7742658,-80.1936589,miami,9,Huffington Post
28.5421175,-81.3790462,orlando,2,Huffington Post
-27.6424132,153.1131037,logan,1,Huffington Post
52.4080477,-1.5113334,coventry,1,Huffington Post
-26.6595434,150.1839141,miles,57,Huffington Post
25.2683592,55.2963956,dubai,8,Huffington Post
26.7164127,88.4309916,siliguri,3,Huffington Post
34.1420882,-118.25057,glendale,1,Huffington Post
33.5206824,-86.8024326,birmingham,1,Huffington Post
